subNb	sessionNb	globalBlockNb	blockType	blockIndexWithinType	backboneTrials	nbTargetsPlanned	trialNbInBlock	baseIndex	origin	direction	isTarget	trialOnset	trialDurationPlanned	stimOnset	stimDurationAchieved	itiPlanned	itiAchieved	stimFrames	itiFrames	keyPressed	RT	outcome	refreshHz	dotLifeFrames	simulateOnly	droppedFramesStim	droppedFramesITI	droppedFramesTrial
999	1	1	tac_down	1	160	16	134	121	actual	wrist_to_finger	0	233.9781	1.8183	233.9781	0.5004	1.3231	1.3178	30	79			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	135	122	actual	pinky_to_thumb	0	235.7949	1.6348	235.7949	0.5004	1.1312	1.1343	30	68			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	136	123	actual	finger_to_wrist	0	237.4279	1.8016	237.4279	0.5004	1.2941	1.3011	30	78			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	137	124	actual	thumb_to_pinky	0	239.2112	1.8516	239.2112	0.5004	1.3594	1.3512	30	81			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	138	125	actual	finger_to_wrist	0	241.0615	1.7015	241.0615	0.5004	1.2014	1.2011	30	72			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	139	126	actual	wrist_to_finger	0	242.7612	1.9184	242.7612	0.5004	1.4110	1.4179	30	85			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	140	127	actual	pinky_to_thumb	0	244.6784	1.7349	244.6784	0.5004	1.2369	1.2344	30	74			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	141	128	actual	thumb_to_pinky	0	246.4114	1.6181	246.4114	0.5004	1.1184	1.1176	30	67			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	142	129	actual	wrist_to_finger	0	248.0282	1.8016	248.0282	0.5004	1.2948	1.3011	30	78			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	143	130	actual	thumb_to_pinky	0	249.8276	1.7682	249.8276	0.5004	1.2752	1.2678	30	76			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	144	131	actual	pinky_to_thumb	0	251.5946	1.8516	251.5946	0.5004	1.3528	1.3512	30	81			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	145	131	duplicate	pinky_to_thumb	1	253.4445	1.7349	253.4445	0.5004	1.2357	1.2344	30	74			MISS	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	146	132	actual	finger_to_wrist	0	255.1778	1.9517	255.1778	0.5004	1.4544	1.4513	30	87			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	147	133	actual	wrist_to_finger	0	257.1282	1.6681	257.1282	0.5004	1.1648	1.1677	30	70			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	148	134	actual	thumb_to_pinky	0	258.7949	1.6681	258.7949	0.5004	1.1648	1.1677	30	70			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	149	135	actual	pinky_to_thumb	0	260.4630	1.5847	260.4630	0.5004	1.0778	1.0843	30	65			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	150	136	actual	finger_to_wrist	0	262.0453	1.7682	262.0453	0.5004	1.2595	1.2678	30	76			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	151	136	duplicate	finger_to_wrist	1	263.8121	1.9684	263.8121	0.5004	1.4613	1.4680	30	88			MISS	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	152	137	actual	pinky_to_thumb	0	265.7796	1.5680	265.7796	0.5004	1.0633	1.0676	30	64			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	153	138	actual	finger_to_wrist	0	267.3453	1.6848	267.3453	0.5004	1.1831	1.1844	30	71			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	154	139	actual	wrist_to_finger	0	269.0288	1.5347	269.0288	0.5004	1.0313	1.0342	30	62			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	155	139	duplicate	wrist_to_finger	1	270.5622	1.7849	270.5622	0.5004	1.2855	1.2845	30	77			MISS	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	156	140	actual	thumb_to_pinky	0	272.3453	1.8850	272.3453	0.5004	1.3764	1.3845	30	83			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	157	141	actual	wrist_to_finger	0	274.2117	1.5680	274.2117	0.5004	1.0739	1.0676	30	64			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	158	142	actual	thumb_to_pinky	0	275.7786	1.7682	275.7786	0.5004	1.2743	1.2678	30	76			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	159	143	actual	pinky_to_thumb	0	277.5456	1.7182	277.5456	0.5004	1.2157	1.2177	30	73			CORRECT_REJECT	59.947		0	0	0	0
